,date,derv,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,Value
88,2021-06-21 14:40:00+00:00,-6.927272727272716e-05,0.493776,0.496824,0.50292,0.509016,0.515112,0.521208,0.524256,0.527304,0.530352,0.530352,0.48768
89,2021-06-21 14:50:00+00:00,-6.84943820224718e-05,0.48768,0.493776,0.496824,0.50292,0.509016,0.515112,0.521208,0.524256,0.527304,0.530352,0.481584
90,2021-06-21 15:00:00+00:00,-6.773333333333322e-05,0.481584,0.48768,0.493776,0.496824,0.50292,0.509016,0.515112,0.521208,0.524256,0.527304,0.475488
91,2021-06-21 15:10:00+00:00,-6.698901098901149e-05,0.475488,0.481584,0.48768,0.493776,0.496824,0.50292,0.509016,0.515112,0.521208,0.524256,0.469392
92,2021-06-21 15:20:00+00:00,-6.626086956521728e-05,0.469392,0.475488,0.481584,0.48768,0.493776,0.496824,0.50292,0.509016,0.515112,0.521208,0.463296
93,2021-06-21 15:30:00+00:00,-6.554838709677409e-05,0.463296,0.469392,0.475488,0.481584,0.48768,0.493776,0.496824,0.50292,0.509016,0.515112,0.4572
94,2021-06-21 15:40:00+00:00,-3.242553191489356e-05,0.4572,0.463296,0.469392,0.475488,0.481584,0.48768,0.493776,0.496824,0.50292,0.509016,0.454152
95,2021-06-21 15:50:00+00:00,-6.416842105263148e-05,0.454152,0.4572,0.463296,0.469392,0.475488,0.481584,0.48768,0.493776,0.496824,0.50292,0.448056
96,2021-06-21 16:00:00+00:00,-6.34999999999999e-05,0.448056,0.454152,0.4572,0.463296,0.469392,0.475488,0.481584,0.48768,0.493776,0.496824,0.44196
97,2021-06-21 16:10:00+00:00,-3.1422680412371084e-05,0.44196,0.448056,0.454152,0.4572,0.463296,0.469392,0.475488,0.481584,0.48768,0.493776,0.438912
98,2021-06-21 16:20:00+00:00,-6.220408163265352e-05,0.438912,0.44196,0.448056,0.454152,0.4572,0.463296,0.469392,0.475488,0.481584,0.48768,0.432816
99,2021-06-21 16:30:00+00:00,-3.078787878787873e-05,0.432816,0.438912,0.44196,0.448056,0.454152,0.4572,0.463296,0.469392,0.475488,0.481584,0.429768
100,2021-06-21 16:40:00+00:00,-6.09599999999999e-05,0.429768,0.432816,0.438912,0.44196,0.448056,0.454152,0.4572,0.463296,0.469392,0.475488,0.423672
101,2021-06-21 16:50:00+00:00,-3.0178217821782128e-05,0.423672,0.429768,0.432816,0.438912,0.44196,0.448056,0.454152,0.4572,0.463296,0.469392,0.420624
102,2021-06-21 17:00:00+00:00,-5.976470588235284e-05,0.420624,0.423672,0.429768,0.432816,0.438912,0.44196,0.448056,0.454152,0.4572,0.463296,0.414528
103,2021-06-21 17:10:00+00:00,-2.9592233009708686e-05,0.414528,0.420624,0.423672,0.429768,0.432816,0.438912,0.44196,0.448056,0.454152,0.4572,0.41148
104,2021-06-21 17:20:00+00:00,-5.861538461538452e-05,0.41148,0.414528,0.420624,0.423672,0.429768,0.432816,0.438912,0.44196,0.448056,0.454152,0.405384
105,2021-06-21 17:30:00+00:00,-5.805714285714329e-05,0.405384,0.41148,0.414528,0.420624,0.423672,0.429768,0.432816,0.438912,0.44196,0.448056,0.399288
106,2021-06-21 17:40:00+00:00,-5.7509433962264054e-05,0.399288,0.405384,0.41148,0.414528,0.420624,0.423672,0.429768,0.432816,0.438912,0.44196,0.393192
107,2021-06-21 17:50:00+00:00,-2.8485981308411167e-05,0.393192,0.399288,0.405384,0.41148,0.414528,0.420624,0.423672,0.429768,0.432816,0.438912,0.390144
108,2021-06-21 18:00:00+00:00,-2.8222222222222173e-05,0.390144,0.393192,0.399288,0.405384,0.41148,0.414528,0.420624,0.423672,0.429768,0.432816,0.387096
109,2021-06-21 18:10:00+00:00,-5.592660550458706e-05,0.387096,0.390144,0.393192,0.399288,0.405384,0.41148,0.414528,0.420624,0.423672,0.429768,0.381
110,2021-06-21 18:20:00+00:00,-5.541818181818173e-05,0.381,0.387096,0.390144,0.393192,0.399288,0.405384,0.41148,0.414528,0.420624,0.423672,0.374904
111,2021-06-21 18:30:00+00:00,-2.7459459459459417e-05,0.374904,0.381,0.387096,0.390144,0.393192,0.399288,0.405384,0.41148,0.414528,0.420624,0.371856
112,2021-06-21 18:40:00+00:00,-2.721428571428567e-05,0.371856,0.374904,0.381,0.387096,0.390144,0.393192,0.399288,0.405384,0.41148,0.414528,0.368808
113,2021-06-21 18:50:00+00:00,-2.6973451327434075e-05,0.368808,0.371856,0.374904,0.381,0.387096,0.390144,0.393192,0.399288,0.405384,0.41148,0.36576
114,2021-06-21 19:00:00+00:00,-2.6736842105263115e-05,0.36576,0.368808,0.371856,0.374904,0.381,0.387096,0.390144,0.393192,0.399288,0.405384,0.362712
115,2021-06-21 19:10:00+00:00,-2.6504347826086915e-05,0.362712,0.36576,0.368808,0.371856,0.374904,0.381,0.387096,0.390144,0.393192,0.399288,0.359664
116,2021-06-21 19:20:00+00:00,-2.6275862068965476e-05,0.359664,0.362712,0.36576,0.368808,0.371856,0.374904,0.381,0.387096,0.390144,0.393192,0.356616
117,2021-06-21 19:30:00+00:00,-2.605128205128201e-05,0.356616,0.359664,0.362712,0.36576,0.368808,0.371856,0.374904,0.381,0.387096,0.390144,0.353568
118,2021-06-21 19:40:00+00:00,-5.166101694915246e-05,0.353568,0.356616,0.359664,0.362712,0.36576,0.368808,0.371856,0.374904,0.381,0.387096,0.347472
119,2021-06-21 19:50:00+00:00,-2.561344537815122e-05,0.347472,0.353568,0.356616,0.359664,0.362712,0.36576,0.368808,0.371856,0.374904,0.381,0.344424
120,2021-06-21 20:00:00+00:00,0.0,0.344424,0.347472,0.353568,0.356616,0.359664,0.362712,0.36576,0.368808,0.371856,0.374904,0.344424
121,2021-06-21 20:10:00+00:00,-2.519008264462806e-05,0.344424,0.344424,0.347472,0.353568,0.356616,0.359664,0.362712,0.36576,0.368808,0.371856,0.341376
122,2021-06-21 20:20:00+00:00,-4.996721311475402e-05,0.341376,0.344424,0.344424,0.347472,0.353568,0.356616,0.359664,0.362712,0.36576,0.368808,0.33528
123,2021-06-21 20:30:00+00:00,-2.478048780487801e-05,0.33528,0.341376,0.344424,0.344424,0.347472,0.353568,0.356616,0.359664,0.362712,0.36576,0.332232
124,2021-06-21 20:40:00+00:00,-2.4580645161290733e-05,0.332232,0.33528,0.341376,0.344424,0.344424,0.347472,0.353568,0.356616,0.359664,0.362712,0.329184
125,2021-06-21 20:50:00+00:00,-2.4383999999999962e-05,0.329184,0.332232,0.33528,0.341376,0.344424,0.344424,0.347472,0.353568,0.356616,0.359664,0.326136
126,2021-06-21 21:00:00+00:00,-2.419047619047615e-05,0.326136,0.329184,0.332232,0.33528,0.341376,0.344424,0.344424,0.347472,0.353568,0.356616,0.323088
127,2021-06-21 21:10:00+00:00,-2.3999999999999963e-05,0.323088,0.326136,0.329184,0.332232,0.33528,0.341376,0.344424,0.344424,0.347472,0.353568,0.32004
128,2021-06-21 21:20:00+00:00,-2.3812499999999962e-05,0.32004,0.323088,0.326136,0.329184,0.332232,0.33528,0.341376,0.344424,0.344424,0.347472,0.316992
129,2021-06-21 21:30:00+00:00,-2.362790697674415e-05,0.316992,0.32004,0.323088,0.326136,0.329184,0.332232,0.33528,0.341376,0.344424,0.344424,0.313944
130,2021-06-21 21:40:00+00:00,0.0,0.313944,0.316992,0.32004,0.323088,0.326136,0.329184,0.332232,0.33528,0.341376,0.344424,0.313944
